gen,avg_fitness,max_fitness,median_fitness,avg_w0,std_w0
0,-21955.53124,-31.57480,-14014.55187,0.02653,0.61553
1,-11717.77601,-5.51867,-1782.20774,-0.24735,0.58817
2,-4594.72723,1.47410,-72.17624,-0.41751,0.48829
3,-2381.71625,-10.13699,-60.00000,-0.55104,0.43944
4,-1662.52754,21.94346,-55.25838,-0.62370,0.31248
5,-1455.72556,7.80919,-56.70135,-0.65365,0.27644
6,-1100.56465,7.93103,-47.09820,-0.61927,0.27920
7,-1812.26747,60.66148,-47.92595,-0.63175,0.26262
8,-1375.28741,53.09859,-45.78792,-0.65913,0.22214
9,-1674.59414,39.13947,-43.58622,-0.64113,0.24754
